185,185,Altri SGPS SA,LIS:ALTR,25.5,Medium ESG Risk
186,186,Altria Group Inc.,NYS:MO,25.4,Medium ESG Risk
187,187,Altus Group Ltd,TSE:AIF,9.8,Negligible ESG Risk
188,188,Alumina Ltd,ASX:AWC,37.5,High ESG Risk
189,189,Aluminum Corp. of China Ltd.,HKG:2600,53.2,Severe ESG Risk
190,190,"AMADA Co., Ltd.",TKS:6113,30.4,High ESG Risk
191,191,"Amadeus IT Group, S.A.",MCE:AMS,16.1,Low ESG Risk
192,192,Amazon.com Inc,NAS:AMZN,27.3,Medium ESG Risk
193,193,Ambev SA,BSP:ABEV3,21.8,Medium ESG Risk
194,194,Ambu A/S,CSE:AMBU.B,36.0,High ESG Risk
195,195,Ambuja Cements Ltd.,BOM:500425,21.8,Medium ESG Risk
196,196,Amcor Plc,NYS:AMCR,16.1,Low ESG Risk
197,197,Amdocs Ltd,NAS:DOX,14.1,Low ESG Risk
198,198,AMERCO,NAS:UHAL,21.8,Medium ESG Risk
199,199,Ameren Corp.,NYS:AEE,33.6,High ESG Risk
200,200,America Movil SAB de CV,MEX:AMXL,22.9,Medium ESG Risk
201,201,American Airlines Group Inc,NAS:AAL,28.0,Medium ESG Risk
202,202,"American Campus Communities, Inc.",NYS:ACC,18.3,Low ESG Risk
203,203,American Electric Power Co Inc,NAS:AEP,35.1,High ESG Risk
204,204,American Express Co.,NYS:AXP,18.9,Low ESG Risk
205,205,"American Financial Group, Inc.",NYS:AFG,28.8,Medium ESG Risk
206,206,American Homes 4 Rent,NYS:AMH,19.0,Low ESG Risk
207,207,American International Group Inc,NYS:AIG,26.7,Medium ESG Risk
208,208,"American National Group, Inc.",NAS:ANAT,29.6,Medium ESG Risk
209,209,American Shipping Co ASA,OSL:AMSC,28.9,Medium ESG Risk
210,210,American Tower Corp,NYS:AMT,12.3,Low ESG Risk
211,211,American Water Works Co Inc,NYS:AWK,29.7,Medium ESG Risk
212,212,"Americold Realty Trust, Inc.",NYS:COLD,17.5,Low ESG Risk
213,213,"Ameriprise Financial, Inc.",NYS:AMP,25.8,Medium ESG Risk
214,214,AmerisourceBergen Corp,NYS:ABC,12.8,Low ESG Risk
215,215,"AMETEK, Inc.",NYS:AME,26.0,Medium ESG Risk
216,216,Amgen Inc,NAS:AMGN,19.1,Low ESG Risk
217,217,AMMB Holdings Bhd,KLS:1015,29.6,Medium ESG Risk
218,218,Amorepacific Corp.,KRX:090430,30.5,High ESG Risk
219,219,AMP Limited,ASX:AMP,32.2,High ESG Risk
