196,FMC,FMC Corporation,43,Industry: CHM Chemicals,48,31,48
197,F,Ford Motor Company,27,Industry: AUT Automobiles,34,19,29
198,FTNT,"Fortinet, Inc.",14,Industry: SOF Software, 2, 2,25
199,FTV,Fortive Corporation,16,Industry: IEQ Machinery and Electrical Equipment,11, 2,28
200,FBHS,"Fortune Brands Home & Security, Inc.",17,Industry: BLD Building Products, 9,15,27
201,FOXA,Fox Corporation,9,"Industry: PUB Media, Movies & Entertainment", 0, 2,19
202,FOXA,Fox Corporation,9,"Industry: PUB Media, Movies & Entertainment", 0, 2,19
203,BEN,"Franklin Resources, Inc.",21,Industry: FBN Diversified Financial Services and Capital Markets, 2, 8,34
204,FCX,Freeport-McMoRan Inc.,58,Industry: MNX Metals & Mining,58,59,58
205,C6L,Singapore Airlines Limited,46,Industry: AIR Airlines,30,51,51
206,GRMN,Garmin Ltd.,13,Industry: LEG Leisure Equipment & Products and Consumer Electronics,11, 5,19
207,IT,"Gartner, Inc.",22,Industry: TSV IT services,10,19,29
208,IT,"Gartner, Inc.",22,Industry: TSV IT services,10,19,29
209,G,Assicurazioni Generali S.p.A.,81,Industry: INS Insurance,97,80,78
210,G,Assicurazioni Generali S.p.A.,81,Industry: INS Insurance,97,80,78
211,G,Assicurazioni Generali S.p.A.,81,Industry: INS Insurance,97,80,78
212,G,Assicurazioni Generali S.p.A.,81,Industry: INS Insurance,97,80,78
213,GPC,Genuine Parts Company,14,Industry: RTS Retailing,16, 0,21
214,GPC,Genuine Parts Company,14,Industry: RTS Retailing,16, 0,21
215,GPC,Genuine Parts Company,14,Industry: RTS Retailing,16, 0,21
216,BERY,"Berry Global Group, Inc.",49,Industry: CTR Containers & Packaging,65,31,51
217,GS,"The Goldman Sachs Group, Inc.",38,Industry: FBN Diversified Financial Services and Capital Markets,76,23,38
218,GWW,"W.W. Grainger, Inc.",52,Industry: TCD Trading Companies & Distributors,64,45,54
219,HAL,Halliburton Company,53,Industry: OIE Energy Equipment & Services,45,41,70
220,HBI,Hanesbrands Inc.,22,"Industry: TEX Textiles, Apparel & Luxury Goods",38, 8,26
221,HIG,"The Hartford Financial Services Group, Inc.",63,Industry: INS Insurance,79,53,66
222,HAS,"Hasbro, Inc.",32,Industry: LEG Leisure Equipment & Products and Consumer Electronics,38,34,27
223,FPH,Fisher & Paykel Healthcare Corporation Limited,49,Industry: MTC Health Care Equipment & Supplies,77,37,52
224,PEAK,"Healthpeak Properties, Inc.",67,Industry: REA Real Estate,70,63,69
225,HSIC,"Henry Schein, Inc.",21,Industry: HEA Health Care Providers & Services,15,12,30
226,ANTM,"Anthem, Inc.",67,Industry: HEA Health Care Providers & Services,67,71,63
227,HES,Hess Corporation,69,Industry: OGX Oil & Gas Upstream & Integrated,76,65,67
228,HPE,Hewlett Packard Enterprise Company,91,Industry: THQ Computers & Peripherals and Office Electronics,98,90,86
229,HLT,Hilton Worldwide Holdings Inc.,82,"Industry: TRT Hotels, Resorts & Cruise Lines",91,77,81
230,HFC,HollyFrontier Corporation,26,Industry: OGR Oil & Gas Refining & Marketing,14,25,40
231,HOLX,"Hologic, Inc.",47,Industry: MTC Health Care Equipment & Supplies,20,46,53
232,FBHS,"Fortune Brands Home & Security, Inc.",17,Industry: BLD Building Products, 9,15,27
233,HON,Honeywell International Inc.,22,Industry: IDD Industrial Conglomerates,30, 2,30
234,HRL,Hormel Foods Corporation,27,Industry: FOA Food Products,30,19,31
235,HST,"Host Hotels & Resorts, Inc.",67,Industry: REA Real Estate,68,58,76
236,HWM,Howmet Aerospace Inc.,31,Industry: ARO Aerospace & Defense,38,26,31
237,BHP,BHP Group,43,Industry: MNX Metals & Mining,49,35,45
238,HUM,Humana Inc.,67,Industry: HEA Health Care Providers & Services,89,62,65
239,HBAN,Huntington Bancshares Incorporated,28,Industry: BNK Banks,14,19,36
240,HBAN,Huntington Bancshares Incorporated,28,Industry: BNK Banks,14,19,36
241,IEX,IDEX Corporation,14,Industry: IEQ Machinery and Electrical Equipment, 1, 9,26
242,IDXX,"IDEXX Laboratories, Inc.",18,Industry: MTC Health Care Equipment & Supplies, 3, 8,28
243,INFO,IHS Markit Ltd.,30,Industry: PRO Professional Services,35,13,44
244,ITW,Illinois Tool Works Inc.,37,Industry: IEQ Machinery and Electrical Equipment,46,20,43
245,ILMN,"Illumina, Inc.",58,Industry: LIF Life Sciences Tools & Services,29,53,67
246,INCY,Incyte Corporation,21,Industry: BTC Biotechnology, 4,15,29
247,IR,Ingersoll Rand Inc.,61,Industry: IEQ Machinery and Electrical Equipment,59,62,61
248,INTC,Intel Corporation,71,Industry: SEM Semiconductors & Semiconductor Equipment,80,66,67
249,ICE,"Intercontinental Exchange, Inc.",29,Industry: FBN Diversified Financial Services and Capital Markets, 0,15,44
250,AIG,"American International Group, Inc.",18,Industry: INS Insurance, 0, 7,30
251,AIG,"American International Group, Inc.",18,Industry: INS Insurance, 0, 7,30
252,IPG,"The Interpublic Group of Companies, Inc.",42,"Industry: PUB Media, Movies & Entertainment",43,36,47
253,AIG,"American International Group, Inc.",18,Industry: INS Insurance, 0, 7,30
254,INTU,Intuit Inc.,21,Industry: SOF Software,13,13,29
255,ISRG,"Intuitive Surgical, Inc.",14,Industry: MTC Health Care Equipment & Supplies, 8, 5,22
256,IVZ,Invesco Ltd.,27,Industry: FBN Diversified Financial Services and Capital Markets, 7,15,39
257,IPGP,IPG Photonics Corporation,11,"Industry: ITC Electronic Equipment, Instruments & Components", 3, 2,24
258,IQV,IQVIA Holdings Inc.,15,Industry: LIF Life Sciences Tools & Services, 9, 2,24
259,600019,"Baoshan Iron & Steel Co., Ltd.",31,Industry: STL Steel,27,30,34
260,JKHY,"Jack Henry & Associates, Inc.",13,Industry: TSV IT services, 0, 2,24
261,J,Jacobs Engineering Group Inc.,54,Industry: CON Construction & Engineering,49,57,54
262,AJG,Arthur J. Gallagher & Co.,24,Industry: INS Insurance, 0,16,35
263,AJG,Arthur J. Gallagher & Co.,24,Industry: INS Insurance, 0,16,35
264,JNJ,Johnson & Johnson,60,Industry: DRG Pharmaceuticals,85,67,50
265,JNJ,Johnson & Johnson,60,Industry: DRG Pharmaceuticals,85,67,50
266,JPM,JPMorgan Chase & Co.,37,Industry: BNK Banks,46,34,36
267,JNPR,"Juniper Networks, Inc.",28,Industry: CMT Communications Equipment,35,11,32
268,KSU,Kansas City Southern,38,Industry: TRA Transportation and Transportation Infrastructure,52,27,40
269,K,Kellogg Company,74,Industry: FOA Food Products,76,66,79
270,KEY,KeyCorp,34,Industry: BNK Banks,59,26,32
271,KEYS,"Keysight Technologies, Inc.",47,"Industry: ITC Electronic Equipment, Instruments & Components",51,49,42
272,KMB,Kimberly-Clark Corp.,27,Industry: HOU Household Products,44,22,23
273,KIM,Kimco Realty Corporation,68,Industry: REA Real Estate,74,61,67
274,KMI,"Kinder Morgan, Inc.",45,Industry: PIP Oil & Gas Storage & Transportation,51,37,50
275,AIA,Auckland International Airport Limited,58,Industry: TRA Transportation and Transportation Infrastructure,68,55,55
276,KHC,The Kraft Heinz Company,62,Industry: FOA Food Products,58,64,64
277,KR,The Kroger Co.,52,Industry: FDR Food & Staples Retailing,59,41,55
278,III,3i Group plc,47,Industry: FBN Diversified Financial Services and Capital Markets,47,33,54
279,LHX,"L3Harris Technologies, Inc.",12,Industry: ARO Aerospace & Defense, 3, 5,24
280,LH,Laboratory Corporation of America Holdings,18,Industry: HEA Health Care Providers & Services, 8, 8,28
